state,state_abb,cp_2019,gov_party,gdp,co2_emissions,total_energy,nuclear,perc_renew,renew,perc_ff,ff,pop,perc_white,perc_black,perc_latino,perc_asian,cp,gwvoteimp,human,humanOppose,margin_2016
Oklahoma,OK,0,R,202036.1,99.6,1862.4,0,17,317.9,83,1544.5,3826900,65,7.000000000000001,11,2,0,50.525,50.126,38.434,-36.4
Oregon,OR,0,D,253623.2,40.41,1117.9,0,44,496.8,56.00000000000001,621.1,4128900,75,2,13,5,0,61.125,57.451,32.388,11
Pennsylvania,PA,0,D,808737.5,227.04,4484.3,872.7,6,251.2,75,3360.4,12377600,76,10,8,4,0,54.386,56.606,33.234,-0.7
Rhode Island,RI,5.43,D,61883.8,11.68,199.2,0,5,10,95,189.2,1017100,71,6,17,3,1,56.456,59.37,30.652,15.5
South Carolina,SC,0,R,247543.8,75.24,1786.1,551.2,9,163.5,60,1071.4,4984200,64,26,6,2,0,53.065,52.368,35.784,-14.2
South Dakota,SD,0,R,54940.9,15.93,387.1,0,39,149.5,61,237.6,851300,82,2,4,1,0,48.504,51.662,37.135,-29.8
Tennessee,TN,0,R,376582.4,96.9,1959,378.2,11,206,70,1374.8,6640900,74,16,6,2,0,51.577,51.962,36.141,-26
Texas,TX,0,R,1843802.7,823.33,14191.8,430.6,7.000000000000001,1009,90,12752.2,28286200,41,12,40,5,0,57.318,56.093,33.651,-9
Utah,UT,0,R,192519.2,60.5,891.3,0,7.000000000000001,61.3,93,830,3154100,78,1,14.000000000000002,2,0,52.891,51.367,37.597,-17.9
Vermont,VT,5.43,R,34013.4,6.21,134.8,0,33,44.2,67,90.6,598100,93,1,2,2,1,56.528,59.488,30.515,26.4
Virginia,VA,0,D,556905.2,105.29,2079.9,305.8,9,181.5,77,1592.6,8185100,61,19,10,7.000000000000001,0,56.118,59.195,30.579,5.4
Washington,WA,0,D,612996.5,82.08,2255.5,101.5,42,956.8,53,1197.2,7423900,68,4,13,9,0,59.55,60.092,29.675,15.7
West Virginia,WV,0,R,78863.9,88.62,1156.9,0,5,53.7,95,1103.2,1739000,93,3,1,1,0,44.444,44.589,42.48,-41.7
Wisconsin,WI,0,D,349416.5,102.94,1775.9,105.9,11,199.6,83,1470.4,5677100,81,6,7.000000000000001,3,0,51.473,55.659,34.183,-0.7
Wyoming,WY,0,R,40420.1,63.86,848.1,0,6,54.9,94,793.2,562700,84,1,10,1,0,44.446,45.262,42.66,-46.3
